ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,±â¿Â(¡ÆC),±â¿Â QCÇÃ·¡±×,°­¼ö·®(mm),°­¼ö·® QCÇÃ·¡±×,Ç³¼Ó(m/s),Ç³¼Ó QCÇÃ·¡±×,Ç³Çâ(16¹æÀ§),Ç³Çâ QCÇÃ·¡±×,½Àµµ(%),½Àµµ QCÇÃ·¡±×,Áõ±â¾Ð(hPa),ÀÌ½½Á¡¿Âµµ(¡ÆC),ÇöÁö±â¾Ð(hPa),ÇöÁö±â¾Ð QCÇÃ·¡±×,ÇØ¸é±â¾Ð(hPa),ÇØ¸é±â¾Ð QCÇÃ·¡±×,ÀÏÁ¶(hr),ÀÏÁ¶ QCÇÃ·¡±×,ÀÏ»ç(MJ/m2),ÀÏ»ç QCÇÃ·¡±×,Àû¼³(cm),3½Ã°£½ÅÀû¼³(cm),Àü¿î·®(10ºÐÀ§),ÁßÇÏÃþ¿î·®(10ºÐÀ§),¿îÇü(¿îÇü¾à¾î),ÃÖÀú¿î°í(100m ),½ÃÁ¤(10m),Áö¸é»óÅÂ(Áö¸é»óÅÂÄÚµå),Çö»ó¹øÈ£(±¹³»½Ä),Áö¸é¿Âµµ(¡ÆC),Áö¸é¿Âµµ QCÇÃ·¡±×,5cm ÁöÁß¿Âµµ(¡ÆC),10cm ÁöÁß¿Âµµ(¡ÆC),20cm ÁöÁß¿Âµµ(¡ÆC),30cm ÁöÁß¿Âµµ(¡ÆC)
252,¿µ±¤±º,2022-01-01 01:00,-5.3,,,,.5,,90,,67,,2.8,-10.4,1029.3,,1034.2,,,9,,9,1.4,,9,0,,,765,,,-5.6,0,.2,1.3,4.1,4.5
252,¿µ±¤±º,2022-01-01 02:00,-5.9,,,,.1,,0,,70,,2.8,-10.4,1028.8,,1033.7,,,9,,9,1.4,,9,0,,,1304,,,-5.5,0,.1,1.2,4,4.5
252,¿µ±¤±º,2022-01-01 03:00,-5.5,,,,.3,,0,,69,,2.8,-10.2,1028.4,,1033.3,,,9,,9,1.4,,10,0,,,1672,,,-4,0,.1,1.2,4,4.5
252,¿µ±¤±º,2022-01-01 04:00,-5.5,,,,1.1,,360,,67,,2.7,-10.6,1027.9,,1032.8,,,9,,9,1.4,,10,0,,,1779,,,-4.4,0,.1,1.1,3.9,4.4
252,¿µ±¤±º,2022-01-01 05:00,-5.6,,,,.4,,0,,64,,2.6,-11.3,1027.6,,1032.5,,,9,,9,1.4,,10,0,,,1764,,,-5.4,0,-.2,1,3.8,4.4
252,¿µ±¤±º,2022-01-01 06:00,-5.9,,,,.4,,0,,62,,2.4,-12,1027.8,,1032.7,,,9,,9,1.4,,1,0,,,1678,,,-5.6,0,-.3,.9,3.7,4.3
252,¿µ±¤±º,2022-01-01 07:00,-5.9,,,,.6,,360,,60,,2.4,-12.4,1028.2,,1033.1,,,9,,9,1.4,,8,0,,,1665,,,-5.6,0,-.4,.8,3.7,4.2
252,¿µ±¤±º,2022-01-01 08:00,-5.7,,,,.8,,90,,55,,2.2,-13.3,1028.5,,1033.4,,0,1,,1,1.3,,0,0,,,1952,,,-5.8,0,-.5,.8,3.5,4.1
252,¿µ±¤±º,2022-01-01 09:00,-4.9,,,,.8,,360,,55,,2.3,-12.5,1028.9,,1033.8,,1,,.31,,1.3,,4,0,,,1612,,,-3,0,-.2,.8,3.5,4
252,¿µ±¤±º,2022-01-01 10:00,-3.1,,,,.8,,20,,43,,2.1,-13.9,1029.7,,1034.5,,1,,.95,,1.3,,4,0,,,1589,,,1.4,,.3,1.2,3.5,4
252,¿µ±¤±º,2022-01-01 11:00,-1.7,,,,2.2,,20,,37,,2,-14.5,1028.9,,1033.7,,1,,1.6,,1.3,,7,1,,,1635,,,7,0,.8,1.3,3.5,4
252,¿µ±¤±º,2022-01-01 12:00,0,,,,1.6,,20,,36,,2.2,-13.3,1027.7,,1032.5,,1,,1.87,,1.3,,5,0,,,1613,,,13.5,0,1.2,1.6,3.5,4
252,¿µ±¤±º,2022-01-01 13:00,1.2,,,,2.3,,360,,32,,2.1,-13.7,1026.1,,1030.8,,1,,1.94,,.5,,7,0,,,1626,,,18.4,0,1.7,1.8,3.5,4
