ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,±â¿Â(¡ÆC),±â¿Â QCÇÃ·¡±×,°­¼ö·®(mm),°­¼ö·® QCÇÃ·¡±×,Ç³¼Ó(m/s),Ç³¼Ó QCÇÃ·¡±×,Ç³Çâ(16¹æÀ§),Ç³Çâ QCÇÃ·¡±×,½Àµµ(%),½Àµµ QCÇÃ·¡±×,Áõ±â¾Ð(hPa),ÀÌ½½Á¡¿Âµµ(¡ÆC),ÇöÁö±â¾Ð(hPa),ÇöÁö±â¾Ð QCÇÃ·¡±×,ÇØ¸é±â¾Ð(hPa),ÇØ¸é±â¾Ð QCÇÃ·¡±×,ÀÏÁ¶(hr),ÀÏÁ¶ QCÇÃ·¡±×,ÀÏ»ç(MJ/m2),ÀÏ»ç QCÇÃ·¡±×,Àû¼³(cm),3½Ã°£½ÅÀû¼³(cm),Àü¿î·®(10ºÐÀ§),ÁßÇÏÃþ¿î·®(10ºÐÀ§),¿îÇü(¿îÇü¾à¾î),ÃÖÀú¿î°í(100m ),½ÃÁ¤(10m),Áö¸é»óÅÂ(Áö¸é»óÅÂÄÚµå),Çö»ó¹øÈ£(±¹³»½Ä),Áö¸é¿Âµµ(¡ÆC),Áö¸é¿Âµµ QCÇÃ·¡±×,5cm ÁöÁß¿Âµµ(¡ÆC),10cm ÁöÁß¿Âµµ(¡ÆC),20cm ÁöÁß¿Âµµ(¡ÆC),30cm ÁöÁß¿Âµµ(¡ÆC)
252,¿µ±¤±º,2021-01-01 01:00,-4.2,,,9,.4,,0,,82,,3.7,-6.8,1023.1,,1027.9,,,9,,9,8.4,,10,4,,12,585,,,.3,,1.8,2.5,4.1,4.5
252,¿µ±¤±º,2021-01-01 02:00,-5,,,9,.6,,360,,86,,3.6,-6.9,1022.9,,1027.7,,,9,,9,8.2,,9,4,,10,1911,,,.4,,1.7,2.5,4,4.5
252,¿µ±¤±º,2021-01-01 03:00,-5.3,,0,,.7,,20,,87,,3.6,-7.1,1023.3,,1028.1,,,9,,9,8.1,,9,4,,10,648,,,.4,,1.7,2.5,4,4.5
252,¿µ±¤±º,2021-01-01 04:00,-5.6,,,9,.8,,20,,90,,3.6,-6.9,1023.3,,1028.2,,,9,,9,7.9,,6,6,,15,1148,,,.5,,1.7,2.5,4,4.5
252,¿µ±¤±º,2021-01-01 05:00,-5.1,,,9,.6,,20,,90,,3.8,-6.4,1023.2,,1028,,,9,,9,7.8,,9,1,,8,364,,,.5,,1.7,2.5,4,4.5
252,¿µ±¤±º,2021-01-01 06:00,-4.9,,.1,,.1,,0,,89,,3.8,-6.4,1023.1,,1027.9,,,9,,9,7.8,,9,5,,7,188,,,.5,,1.7,2.5,4,4.5
252,¿µ±¤±º,2021-01-01 07:00,-4.9,,,9,.2,,0,,90,,3.8,-6.2,1023.3,,1028.1,,,9,,9,7.8,,8,4,,6,680,,,.6,,1.7,2.5,4,4.5
252,¿µ±¤±º,2021-01-01 08:00,-4.7,,,9,.8,,90,,90,,3.9,-6,1023,,1027.8,,0,,0,,7.7,,10,4,,14,1456,,,.6,,1.7,2.5,4,4.5
252,¿µ±¤±º,2021-01-01 09:00,-3.7,,0,,.6,,70,,88,,4.1,-5.4,1023.4,,1028.2,,.4,,.23,,7.5,,6,5,,15,1022,,,.6,,1.7,2.5,4,4.5
252,¿µ±¤±º,2021-01-01 10:00,-3.5,,,9,.3,,0,,86,,4.1,-5.5,1023.7,,1028.5,,0,,.34,,7.3,,9,6,,11,1026,,,.6,,1.8,2.7,4,4.5
252,¿µ±¤±º,2021-01-01 11:00,-.7,,,9,2.1,,140,,77,,4.5,-4.2,1023.3,,1028.1,,.3,,1,,7,,10,4,,16,2364,,,.8,,2.2,2.7,4,4.5
252,¿µ±¤±º,2021-01-01 12:00,.9,,,9,1.5,,140,,73,,4.8,-3.4,1022.4,,1027.1,,.3,,1.35,,6.5,,8,3,,15,2185,,,.8,,2.5,2.7,4,4.5
252,¿µ±¤±º,2021-01-01 13:00,3.1,,,9,2.5,,290,,48,,3.7,-6.8,1021.9,,1026.6,,.5,,1.65,,5.6,,7,2,,15,2236,,,.6,,2.9,2.9,4.1,4.5
252,¿µ±¤±º,2021-01-01 14:00,3.2,,,9,3.1,,320,,46,,3.5,-7.3,1021.7,,1026.4,,.6,,1.6,,4.6,,8,7,,15,2215,,,.5,,3.4,3,4.1,4.5
252,¿µ±¤±º,2021-01-01 15:00,3.7,,.1,,2.1,,270,,48,,3.8,-6.3,1021.3,,1026,,.4,,.94,,4.2,,9,2,,13,1926,,,.5,,3.2,3,4,4.5
252,¿µ±¤±º,2021-01-01 16:00,2.9,,,9,1.7,,290,,56,,4.2,-5,1021.2,,1025.9,,.4,,.73,,3.8,,8,7,,15,1906,,,.4,,3,3,4,4.5
252,¿µ±¤±º,2021-01-01 17:00,2.5,,,9,1.3,,290,,55,,4,-5.6,1021,,1025.7,,.1,,.26,,3.5,,8,4,,16,1923,,,.3,,2.5,3,4.1,4.5
252,¿µ±¤±º,2021-01-01 18:00,1.8,,,9,.7,,290,,61,,4.2,-4.9,1021,,1025.7,,0,,0,,3.4,,8,3,,18,1929,,,.3,,2,2.9,4.1,4.5
252,¿µ±¤±º,2021-01-01 19:00,2.3,,,9,1.3,,320,,60,,4.3,-4.6,1021.2,,1025.9,,,9,,9,3.4,,9,2,,71,1762,,,.4,,2,2.9,4.1,4.5
