일시,선량률(nSv/h),장비온도(℃),전광판온도(℃),습도,배터리 잔량
2022-09-01 00:01:22,120,23,28,78,100
2022-09-01 00:06:22,118,23,28,78,100
2022-09-01 00:11:22,119,23,29,79,100
2022-09-01 00:16:22,120,23,29,78,100
2022-09-01 00:21:22,118,23,28,77,100
2022-09-01 00:26:22,120,23,28,77,100
2022-09-01 00:31:22,123,23,29,78,100
2022-09-01 00:36:22,123,23,29,79,100
2022-09-01 00:41:22,120,23,29,78,100
2022-09-01 00:46:22,119,23,28,78,100
2022-09-01 00:51:22,119,23,28,77,100
2022-09-01 00:56:22,117,23,29,78,100
2022-09-01 01:01:22,115,23,28,77,100
2022-09-01 01:06:22,120,22,28,80,100
2022-09-01 01:11:22,119,22,28,78,100
2022-09-01 01:16:22,119,22,27,79,100
2022-09-01 01:21:22,119,22,27,78,100
2022-09-01 01:26:22,123,22,27,78,100
2022-09-01 01:31:22,121,22,28,80,100
2022-09-01 01:36:22,121,22,28,82,100
2022-09-01 01:41:22,119,22,28,83,100
2022-09-01 01:46:22,119,22,28,83,100
2022-09-01 01:51:22,121,22,27,83,100
2022-09-01 01:56:22,120,22,27,82,100
2022-09-01 02:01:22,118,22,28,82,100
2022-09-01 02:06:22,119,22,28,82,100
2022-09-01 02:11:22,119,22,27,81,100
2022-09-01 02:16:22,119,22,27,81,100
2022-09-01 02:21:22,124,23,29,77,100
2022-09-01 02:26:22,126,23,29,78,100
2022-09-01 02:31:22,122,23,28,79,100
2022-09-01 02:36:22,119,23,29,79,100
2022-09-01 02:41:22,120,23,28,78,100
2022-09-01 02:46:22,121,23,29,78,100
2022-09-01 02:51:22,118,22,27,80,100
2022-09-01 02:56:22,123,23,28,79,100
2022-09-01 03:01:22,121,23,29,79,100
2022-09-01 03:06:22,121,23,28,80,100
2022-09-01 03:11:22,121,23,29,78,100
2022-09-01 03:16:22,124,23,28,78,100
2022-09-01 03:21:22,123,23,29,78,100
2022-09-01 03:26:22,120,23,28,78,100
2022-09-01 03:31:22,114,23,29,77,100
2022-09-01 03:36:22,119,22,28,79,100
2022-09-01 03:41:22,117,22,27,80,100
2022-09-01 03:46:22,119,22,27,80,100
2022-09-01 03:51:22,121,22,28,82,100
2022-09-01 03:56:22,118,22,27,82,100
2022-09-01 04:01:22,120,22,27,83,100
2022-09-01 04:06:22,121,22,28,82,100
2022-09-01 04:11:22,123,22,28,82,100
2022-09-01 04:16:22,124,22,27,82,100
2022-09-01 04:21:22,122,22,27,82,100
2022-09-01 04:26:22,120,22,28,82,100
2022-09-01 04:31:22,121,22,28,81,100
2022-09-01 04:36:22,122,22,28,81,100
2022-09-01 04:41:22,121,22,28,81,100
2022-09-01 04:46:22,121,22,28,81,100
2022-09-01 04:51:22,120,22,27,82,100
2022-09-01 04:56:22,119,22,28,81,100
2022-09-01 05:01:22,119,22,28,81,100
2022-09-01 05:06:22,124,22,28,81,100
2022-09-01 05:11:22,123,22,27,81,100
2022-09-01 05:16:22,123,22,27,79,100
2022-09-01 05:21:22,120,23,29,78,100
2022-09-01 05:26:22,118,22,28,78,100
2022-09-01 05:31:22,121,22,28,80,100
2022-09-01 05:36:22,119,22,27,80,100
2022-09-01 05:41:22,121,22,27,80,100
2022-09-01 05:46:22,118,22,28,82,100
2022-09-01 05:51:22,120,21,27,83,100
2022-09-01 05:56:22,117,22,27,83,100
2022-09-01 06:01:22,125,22,28,83,100
2022-09-01 06:06:22,124,22,27,82,100
2022-09-01 06:11:22,122,22,27,82,100
2022-09-01 06:16:22,119,22,28,82,100
2022-09-01 06:21:22,118,22,27,81,100
2022-09-01 06:26:22,119,22,27,81,100
2022-09-01 06:31:22,119,22,28,81,100
2022-09-01 06:36:22,118,22,28,81,100
2022-09-01 06:41:22,120,22,27,81,100
2022-09-01 06:46:22,118,23,28,77,100
2022-09-01 06:51:22,121,23,28,77,100
2022-09-01 06:56:22,125,23,28,75,100
2022-09-01 07:01:22,125,23,29,77,100
2022-09-01 07:06:22,121,23,28,76,100
2022-09-01 07:11:23,121,23,28,77,100
2022-09-01 07:16:22,121,23,29,77,100
2022-09-01 07:21:22,121,23,28,79,100
2022-09-01 07:26:22,119,23,28,77,100
2022-09-01 07:31:22,116,24,29,75,100
2022-09-01 07:36:22,119,24,29,75,100
2022-09-01 07:41:22,119,24,30,74,100
2022-09-01 07:46:22,117,24,30,75,100
2022-09-01 07:51:22,121,24,30,75,100
2022-09-01 07:56:22,123,24,29,75,100
2022-09-01 08:01:22,123,24,29,75,100
2022-09-01 08:06:22,118,24,29,74,100
2022-09-01 08:11:22,118,25,31,72,100
2022-09-01 08:16:22,118,25,31,72,100
2022-09-01 08:21:22,118,25,30,72,100
2022-09-01 08:26:22,120,24,29,74,100
2022-09-01 08:31:22,115,25,30,72,100
2022-09-01 08:36:22,119,25,31,70,100
2022-09-01 08:41:22,116,25,30,69,100
2022-09-01 08:46:22,121,25,30,70,100
2022-09-01 08:51:22,119,26,32,69,100
2022-09-01 08:56:22,120,26,31,70,100
2022-09-01 09:01:22,116,26,31,70,100
2022-09-01 09:06:22,115,26,31,69,100
2022-09-01 09:11:22,115,26,31,69,100
2022-09-01 09:16:22,115,26,31,69,100
2022-09-01 09:21:22,115,26,32,71,100
2022-09-01 09:26:22,116,26,31,70,100
2022-09-01 09:31:22,112,26,31,67,100
2022-09-01 09:36:22,116,26,32,66,100
2022-09-01 09:41:22,122,26,31,66,100
2022-09-01 09:46:22,120,26,31,66,100
2022-09-01 09:51:22,120,26,31,66,100
2022-09-01 09:56:22,116,27,32,67,100
2022-09-01 10:01:22,115,27,33,67,100
2022-09-01 10:06:22,116,27,32,66,100
2022-09-01 10:11:22,113,26,32,69,100
2022-09-01 10:16:22,116,27,32,66,100
2022-09-01 10:21:22,115,27,33,65,100
2022-09-01 10:26:22,114,27,33,67,100
2022-09-01 10:31:22,116,27,32,65,100
2022-09-01 10:36:22,119,27,33,65,100
2022-09-01 10:41:22,119,27,32,67,100
2022-09-01 10:46:22,118,27,32,65,100
2022-09-01 10:51:22,116,27,32,64,100
2022-09-01 10:56:22,112,27,33,63,100
2022-09-01 11:01:22,115,28,33,63,100
2022-09-01 11:06:22,114,27,32,63,100
2022-09-01 11:11:22,114,27,32,62,100
2022-09-01 11:16:22,116,27,33,66,100
2022-09-01 11:21:22,112,28,34,65,100
2022-09-01 11:26:22,113,28,33,63,100
2022-09-01 11:31:22,119,28,34,62,100
2022-09-01 11:36:22,119,28,34,62,100
2022-09-01 11:41:22,119,28,34,63,100
2022-09-01 11:46:22,116,27,33,63,100
2022-09-01 11:51:22,115,27,33,63,100
2022-09-01 11:56:22,116,27,32,66,100
2022-09-01 12:01:22,116,27,32,64,100
2022-09-01 12:06:22,116,27,32,62,100
2022-09-01 12:11:22,117,28,34,64,100
2022-09-01 12:16:22,118,28,34,63,100
2022-09-01 12:21:22,116,28,34,63,100
2022-09-01 12:26:22,120,28,33,63,100
2022-09-01 12:31:22,123,28,33,59,100
2022-09-01 12:36:22,119,28,34,59,100
2022-09-01 12:41:22,116,28,33,59,100
2022-09-01 12:46:22,116,28,33,62,100
2022-09-01 12:51:22,115,28,34,62,100
2022-09-01 12:56:22,115,28,34,62,100
2022-09-01 13:01:22,115,28,33,61,100
2022-09-01 13:06:22,112,28,33,60,100
2022-09-01 13:11:22,117,28,33,60,100
2022-09-01 13:16:22,119,28,34,60,100
2022-09-01 13:21:22,124,28,34,61,100
2022-09-01 13:26:22,121,29,34,58,100
2022-09-01 13:31:22,122,29,35,57,100
2022-09-01 13:36:22,116,29,34,56,100
2022-09-01 13:41:22,118,29,34,59,100
2022-09-01 13:46:22,118,29,34,58,100
2022-09-01 13:51:22,117,29,35,59,100
2022-09-01 13:56:22,115,29,34,61,100
2022-09-01 14:01:22,118,29,35,63,100
2022-09-01 14:06:22,118,29,34,60,100
2022-09-01 14:11:22,116,28,33,61,100
2022-09-01 14:16:22,118,29,34,61,100
2022-09-01 14:21:22,121,29,35,61,100
2022-09-01 14:26:22,119,28,34,60,100
2022-09-01 14:31:22,115,28,34,60,100
2022-09-01 14:36:22,117,28,33,62,100
2022-09-01 14:41:22,115,28,33,62,100
2022-09-01 14:46:22,117,28,34,62,100
2022-09-01 14:51:22,114,28,33,64,100
2022-09-01 14:56:22,115,28,33,64,100
2022-09-01 15:01:22,115,28,33,62,100
2022-09-01 15:06:22,116,28,33,63,100
2022-09-01 15:11:22,118,28,34,65,100
2022-09-01 15:16:22,120,27,33,66,100
2022-09-01 15:21:22,122,28,34,65,100
2022-09-01 15:26:22,119,27,32,64,100
2022-09-01 15:31:22,116,28,34,64,100
2022-09-01 15:36:22,118,27,32,63,100
2022-09-01 15:41:22,115,27,33,65,100
2022-09-01 15:46:22,117,27,33,65,100
2022-09-01 15:51:22,116,27,33,64,100
2022-09-01 15:56:22,115,27,33,66,100
2022-09-01 16:01:22,117,27,33,66,100
2022-09-01 16:06:22,120,27,33,66,100
2022-09-01 16:11:22,120,27,32,65,100
2022-09-01 16:16:22,120,27,33,65,100
2022-09-01 16:21:22,119,27,32,65,100
2022-09-01 16:26:22,117,27,32,66,100
2022-09-01 16:31:22,115,27,32,67,100
2022-09-01 16:36:22,116,27,32,66,100
2022-09-01 16:41:22,116,27,33,65,100
2022-09-01 16:46:22,115,27,33,67,100
2022-09-01 16:51:22,115,27,33,65,100
2022-09-01 16:56:22,114,27,33,64,100
2022-09-01 17:01:22,117,27,32,66,100
2022-09-01 17:06:22,120,27,33,65,100
2022-09-01 17:11:22,122,27,32,66,100
2022-09-01 17:16:22,119,27,32,65,100
2022-09-01 17:21:22,117,27,33,65,100
2022-09-01 17:26:22,115,28,34,64,100
2022-09-01 17:31:22,116,28,33,65,100
2022-09-01 17:36:22,116,28,34,65,100
2022-09-01 17:41:22,115,28,34,64,100
2022-09-01 17:46:22,117,28,33,63,100
2022-09-01 17:51:22,118,28,33,64,100
2022-09-01 17:56:22,117,28,34,64,100
2022-09-01 18:01:22,121,28,33,66,100
2022-09-01 18:06:22,123,28,33,65,100
2022-09-01 18:11:22,119,28,34,63,100
2022-09-01 18:16:22,118,27,33,65,100
2022-09-01 18:21:22,119,28,33,65,100
2022-09-01 18:26:22,119,28,34,64,100
2022-09-01 18:31:22,118,27,32,65,100
2022-09-01 18:36:22,119,28,33,64,100
2022-09-01 18:41:22,120,27,33,66,100
2022-09-01 18:46:22,117,27,32,65,100
2022-09-01 18:51:22,121,27,33,67,100
2022-09-01 18:56:22,125,27,32,68,100
2022-09-01 19:01:22,121,26,32,70,100
2022-09-01 19:06:22,121,27,32,69,100
2022-09-01 19:11:22,117,26,31,70,100
2022-09-01 19:16:22,118,27,33,69,100
2022-09-01 19:21:22,119,26,31,70,100
2022-09-01 19:26:22,122,26,32,69,100
2022-09-01 19:31:22,117,26,32,72,100
2022-09-01 19:36:22,121,26,31,71,100
2022-09-01 19:41:22,119,26,32,71,100
2022-09-01 19:46:22,118,26,31,71,100
2022-09-01 19:51:22,123,25,30,73,100
2022-09-01 19:56:22,119,25,30,73,100
2022-09-01 20:01:22,119,25,31,74,100
2022-09-01 20:06:22,118,25,30,75,100
2022-09-01 20:11:22,118,25,31,75,100
2022-09-01 20:16:22,117,25,30,75,100
2022-09-01 20:21:22,119,25,31,76,100
2022-09-01 20:26:22,119,25,31,75,100
2022-09-01 20:31:22,121,25,31,76,100
2022-09-01 20:36:22,122,25,30,74,100
2022-09-01 20:41:22,121,25,30,75,100
2022-09-01 20:46:22,124,25,30,75,100
2022-09-01 20:51:22,123,25,31,75,100
2022-09-01 20:56:22,120,25,31,76,100
2022-09-01 21:01:22,117,25,31,75,100
2022-09-01 21:06:22,118,24,29,76,100
2022-09-01 21:11:22,116,24,29,77,100
2022-09-01 21:16:22,121,24,29,77,100
2022-09-01 21:21:22,118,24,30,77,100
2022-09-01 21:26:22,118,24,30,77,100
2022-09-01 21:31:22,118,24,30,77,100
2022-09-01 21:36:22,121,24,30,76,100
2022-09-01 21:41:22,121,24,29,78,100
2022-09-01 21:46:22,123,24,29,77,100
2022-09-01 21:51:22,119,24,30,76,100
2022-09-01 21:56:22,118,24,29,77,100
2022-09-01 22:01:22,117,23,28,78,100
2022-09-01 22:06:22,119,24,30,77,100
2022-09-01 22:11:22,119,23,28,79,100
2022-09-01 22:16:22,116,23,28,79,100
2022-09-01 22:21:22,118,23,29,78,100
2022-09-01 22:26:22,118,23,28,77,100
2022-09-01 22:31:22,120,23,29,78,100
2022-09-01 22:36:22,122,23,28,78,100
2022-09-01 22:41:22,121,23,28,78,100
2022-09-01 22:46:22,118,23,28,78,100
2022-09-01 22:51:22,117,23,29,78,100
2022-09-01 22:56:22,118,23,28,77,100
2022-09-01 23:01:22,118,23,28,78,100
2022-09-01 23:06:22,117,23,28,77,100
2022-09-01 23:11:22,116,23,28,79,100
2022-09-01 23:16:22,120,23,29,79,100
2022-09-01 23:21:22,117,23,28,80,100
2022-09-01 23:26:22,120,23,29,80,100
2022-09-01 23:31:22,123,23,28,78,100
2022-09-01 23:36:22,123,23,28,79,100
2022-09-01 23:41:22,122,23,29,79,100
2022-09-01 23:46:22,119,23,28,79,100
2022-09-01 23:51:22,120,23,28,80,100
2022-09-01 23:56:22,118,23,29,78,100
2022-09-02 00:01:22,120,23,29,79,100
2022-09-02 00:06:22,120,23,28,79,100
2022-09-02 00:11:22,119,23,29,79,100
2022-09-02 00:16:22,119,23,29,79,100
2022-09-02 00:21:22,121,22,28,80,100
2022-09-02 00:26:22,123,22,27,79,100
2022-09-02 00:31:22,124,22,27,81,100
2022-09-02 00:36:22,122,22,28,82,100
2022-09-02 00:41:22,122,22,28,82,100
2022-09-02 00:46:22,119,22,27,82,100
2022-09-02 00:51:22,119,22,28,81,100
2022-09-02 00:56:22,119,22,28,82,100
2022-09-02 01:01:22,119,22,27,82,100
2022-09-02 01:06:22,117,22,27,82,100
2022-09-02 01:11:22,119,22,27,82,100
2022-09-02 01:16:22,123,22,28,82,100
2022-09-02 01:21:22,125,22,27,82,100
2022-09-02 01:26:22,125,22,27,82,100
2022-09-02 01:31:22,125,22,27,82,100
2022-09-02 01:36:22,118,22,28,82,100
2022-09-02 01:41:22,117,22,28,81,100
2022-09-02 01:46:22,119,22,28,81,100
2022-09-02 01:51:22,119,22,27,81,100
2022-09-02 01:56:22,117,22,27,79,100
2022-09-02 02:01:22,119,22,27,78,100
2022-09-02 02:06:22,118,22,27,77,100
2022-09-02 02:11:22,122,22,27,78,100
